alpha,beta,discount,seed,converged,convergence_iter,best_action_idx,w1,w2,w3,avg_train_w1,avg_train_w2,avg_train_w3,distance_to_grid_benchmark,distance_to_continuous_benchmark,distance_avg_training_to_grid,distance_avg_training_to_continuous,learned_mean,learned_variance,learned_utility,grid_benchmark_utility,utility_gap_to_grid,utility_gap_to_continuous,utility_gap_avg_training_to_grid,utility_gap_avg_training_to_continuous,grid_w1,grid_w2,grid_w3
0.005,0.002,0.9,123,True,1640,131,0.2,-0.5,1.3,0.24378048780487085,-0.25506097560975605,1.0112804878048558,1.1313708498984762,1.108097958414494,0.9451300511061189,0.9230901461060074,0.0006466300455624697,0.00013099621459835992,0.00045013572366492985,0.000596518511394103,0.0001463827877291732,0.0001464473867052993,0.00021401320855555486,0.00021407780753168097,1.0,-0.5,0.5
0.005,0.002,0.9,1024,True,1217,71,-0.1,-0.3,1.4,0.05571076417420179,0.03615447822514141,0.9081347576006528,1.4352700094407325,1.412344132969531,1.1600507600010816,1.140941400953484,0.0004749525783258933,0.00014323929230166757,0.00026009363987339193,0.000596518511394103,0.0003364248715207111,0.0003364894704968372,0.0003886642151815718,0.00038872881415769793,1.0,-0.5,0.5
0.005,0.002,0.95,42,True,1504,276,1.2,-0.5,0.3,0.8761303191489538,-0.1989361702127659,0.3228058510638366,0.282842712474619,0.3061156039586008,0.3706492868703621,0.37373463975959803,0.0008390888221250304,0.00016912130971517727,0.0005854068575522645,0.000596518511394103,1.1111653841838591e-05,1.11762528179647e-05,0.00013714712398200804,0.00013721172295813415,1.0,-0.5,0.5
0.005,0.002,0.95,123,True,1640,131,0.2,-0.5,1.3,0.24378048780487085,-0.25506097560975605,1.0112804878048558,1.1313708498984762,1.108097958414494,0.9451300511061189,0.9230901461060074,0.0006466300455624697,0.00013099621459835992,0.00045013572366492985,0.000596518511394103,0.0001463827877291732,0.0001464473867052993,0.00021401320855555486,0.00021407780753168097,1.0,-0.5,0.5
0.005,0.002,0.95,1024,True,1217,71,-0.1,-0.3,1.4,0.05571076417420179,0.03615447822514141,0.9081347576006528,1.4352700094407325,1.412344132969531,1.1600507600010816,1.140941400953484,0.0004749525783258933,0.00014323929230166757,0.00026009363987339193,0.000596518511394103,0.0003364248715207111,0.0003364894704968372,0.0003886642151815718,0.00038872881415769793,1.0,-0.5,0.5
0.005,0.002,0.99,42,True,1504,276,1.2,-0.5,0.3,0.8761303191489538,-0.1989361702127659,0.3228058510638366,0.282842712474619,0.3061156039586008,0.3706492868703621,0.37373463975959803,0.0008390888221250304,0.00016912130971517727,0.0005854068575522645,0.000596518511394103,1.1111653841838591e-05,1.11762528179647e-05,0.00013714712398200804,0.00013721172295813415,1.0,-0.5,0.5
0.005,0.002,0.99,123,True,1640,131,0.2,-0.5,1.3,0.24378048780487085,-0.25506097560975605,1.0112804878048558,1.1313708498984762,1.108097958414494,0.9451300511061189,0.9230901461060074,0.0006466300455624697,0.00013099621459835992,0.00045013572366492985,0.000596518511394103,0.0001463827877291732,0.0001464473867052993,0.00021401320855555486,0.00021407780753168097,1.0,-0.5,0.5
0.005,0.002,0.99,1024,True,1217,131,0.2,-0.5,1.3,0.21487263763352063,-0.08520953163516846,0.8703368940016313,1.1313708498984762,1.108097958414494,0.9620943419652964,0.9424104952422171,0.0006466300455624697,0.00013099621459835992,0.00045013572366492985,0.000596518511394103,0.0001463827877291732,0.0001464473867052993,0.0002878588940354869,0.000287923493011613,1.0,-0.5,0.5
0.01,0.0001,0.9,42,True,25793,133,0.2,-0.3,1.1,0.2131999999999931,-0.24985000000000723,1.0366499999999648,1.019803902718557,0.9972279845636238,0.9846941073246908,0.962603561184362,0.0005326902112946615,9.896118407991047e-05,0.0003842484351747958,0.000596518511394103,0.00021227007621930726,0.00021233467519543337,0.00022573745863924393,0.00022580205761537004,1.0,-0.5,0.5
0.01,0.0001,0.9,123,True,22742,203,0.6,-0.3,0.7,0.5721000000000042,-0.22470000000000676,0.6526000000000218,0.48989794855663565,0.46988713986941005,0.5312017130996467,0.5134306034613761,0.0006096737219196857,8.44505671734239e-05,0.00048299787115954986,0.000596518511394103,0.00011352064023455318,0.00011358523921067929,0.00014933304291075473,0.00014939764188688084,1.0,-0.5,0.5
